date,period,ticker,name,market,broker,buy,sell,net_buy,float_shares,listed_shares,market_cap_krw,close,source
2026-07-03,20,068270,셀트리온,KOSPI,신한투자증권,971801,1213994,-242193,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,20,068270,셀트리온,KOSPI,NH투자증권,1969065,1052625,916440,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,20,068270,셀트리온,KOSPI,키움증권,811634,1139287,-327653,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,20,068270,셀트리온,KOSPI,제이피모간,1088785,0,1088785,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,20,068270,셀트리온,KOSPI,대신증권,798438,785009,13429,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,20,068270,셀트리온,KOSPI,미래에셋증권,0,784991,-784991,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,60,068270,셀트리온,KOSPI,신한투자증권,2950697,3613950,-663253,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,60,068270,셀트리온,KOSPI,NH투자증권,4645954,2932992,1712962,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,60,068270,셀트리온,KOSPI,키움증권,3033606,3165036,-131430,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,60,068270,셀트리온,KOSPI,한국투자증권,2544618,2373909,170709,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,60,068270,셀트리온,KOSPI,미래에셋증권,0,1924991,-1924991,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,60,068270,셀트리온,KOSPI,제이피모간,2369058,0,2369058,134997805,134997805,27000000000000,204000,naver-finance-broker-table
2026-07-03,1,000660,SK하이닉스,KOSPI,제이피모간,0,979793,-979793,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,1,000660,SK하이닉스,KOSPI,삼성증권,903129,580645,322484,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,1,000660,SK하이닉스,KOSPI,키움증권,731502,936223,-204721,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,1,000660,SK하이닉스,KOSPI,KB증권,561815,521661,40154,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,1,000660,SK하이닉스,KOSPI,미래에셋증권,504461,528420,-23959,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,1,000660,SK하이닉스,KOSPI,유진투자증권,477197,0,477197,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,5,000660,SK하이닉스,KOSPI,삼성증권,3332713,2639958,692755,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,5,000660,SK하이닉스,KOSPI,키움증권,2913991,2422396,491595,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,5,000660,SK하이닉스,KOSPI,제이피모간,0,2386272,-2386272,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,5,000660,SK하이닉스,KOSPI,미래에셋증권,2373398,0,2373398,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,5,000660,SK하이닉스,KOSPI,KB증권,1970851,1825937,144914,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,5,000660,SK하이닉스,KOSPI,한국투자증권,1752214,1341896,410318,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,20,000660,SK하이닉스,KOSPI,삼성증권,12719633,10663693,2055940,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,20,000660,SK하이닉스,KOSPI,키움증권,10671688,9474903,1196785,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,20,000660,SK하이닉스,KOSPI,KB증권,8500399,8779285,-278886,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,20,000660,SK하이닉스,KOSPI,제이피모간,0,6763137,-6763137,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,20,000660,SK하이닉스,KOSPI,미래에셋증권,8303041,0,8303041,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,20,000660,SK하이닉스,KOSPI,한국투자증권,6679152,5503577,1175575,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,60,000660,SK하이닉스,KOSPI,삼성증권,32498625,30032574,2466051,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,60,000660,SK하이닉스,KOSPI,KB증권,23802483,25355753,-1553270,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,60,000660,SK하이닉스,KOSPI,키움증권,23574454,20687884,2886570,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,60,000660,SK하이닉스,KOSPI,한국투자증권,12428026,15548447,-3120421,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,60,000660,SK하이닉스,KOSPI,미래에셋증권,22154810,13730117,8424693,728002365,728002365,180000000000000,250000,naver-finance-broker-table
2026-07-03,1,247540,에코프로비엠,KOSDAQ,메릴린치,0,95582,-95582,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,1,247540,에코프로비엠,KOSDAQ,한국투자증권,76494,58300,18194,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,1,247540,에코프로비엠,KOSDAQ,신한투자증권,56342,65015,-8673,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,1,247540,에코프로비엠,KOSDAQ,키움증권,73428,45821,27607,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,1,247540,에코프로비엠,KOSDAQ,모간스탠리,45354,0,45354,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,1,247540,에코프로비엠,KOSDAQ,NH투자증권,0,41047,-41047,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,1,247540,에코프로비엠,KOSDAQ,골드만삭스,39817,0,39817,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,5,247540,에코프로비엠,KOSDAQ,메릴린치,0,459621,-459621,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,5,247540,에코프로비엠,KOSDAQ,골드만삭스,626355,0,626355,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,5,247540,에코프로비엠,KOSDAQ,한국투자증권,507724,458464,49260,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,5,247540,에코프로비엠,KOSDAQ,신한투자증권,470314,368216,102098,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,5,247540,에코프로비엠,KOSDAQ,키움증권,284502,361549,-77047,97801344,97801344,13000000000000,130000,naver-finance-broker-table
